,Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city,Country name,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder Range
49,Benin,Reelection protests,Apr-21,Partly free,Incumbent President Patrice Talon’s decision to seek another five-year term in office.,Frustration with declining political pluralism and Talon’s decision to seek reelection despite having said he would leave after a single term.,">1,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,,,Porto-Novo,Benin,Sub-Saharan Africa,5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.661,2.43,0.507,0.058,0.196,0.457,0.166,0.178,3.482,0.28800000000000026
50,Benin,Election protests,Mar-19,Free,"Exclusion of five opposition parties from legislative elections, and consequent electoral victory of government-aligned political parties.",Growing authoritarianism and crackdown on political opponents and media.,">1,000",Political supporters of former president Thomas Yayi.,4 months,No policy/leadership change in response to the protests.,,X,X,X,Over 1 million,,X,X,X,,Porto-Novo,Benin,Sub-Saharan Africa,5.045,0.073,5.189,4.901,8.087,0.489,54.713,0.757,-0.034,0.661,2.43,0.507,0.058,0.196,0.457,0.166,0.178,3.482,0.28800000000000026
51,Bolivia,Political arrest protests,Mar-21,Partly free,Arrest of former interim president Jeanine Añez and other leaders of the political opposition on coup-related offenses.,Concerns that the judiciary is being politically manipulated and that the administration of President Luis Arce is cracking down on dissent.,">50,000",General public.,1 week,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,,,,La Paz,Bolivia,Latin America and Caribbean,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,0.20599999999999952
52,Bolivia,Wildfire protests,Oct-19,Partly free,Then president Evo Morales’s refusal to declare the wildfires in Bolivia a national disaster.,Morales’ environmental policies and growing popular discontent with the president.,"1,500,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,X,La Paz,Bolivia,Latin America and Caribbean,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,0.20599999999999952
53,Bolivia,2020 election protests,Jul-20,Partly free,A second delay to nationwide elections stemming from the COVID-19 pandemic.,Ongoing resentment over the resignation of former President Evo Morales; widespread frustration over an ineffective COVID response; anger over the caretaker Áñez government's extension of its own mandate.,">10,000",Supporters of the former President; trade unions.,3 weeks,"The government set a hard deadline for holding nationwide elections (October 18, 2020).",,X,,,Thousands,,,,,,La Paz,Bolivia,Latin America and Caribbean,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,0.20599999999999952
54,Bolivia,2019 election protests,Oct-19,Partly free,"Electoral irregularities in the 2019 presidential election, in which then president Evo Morales narrowly avoided a runoff contest in suspicious circumstances. After Morales resigned, his supporters led additional protests, alleging he was the victim of a coup.",Fears over electoral fraud and growing authoritarian tendencies.,">10,000","Opposition parties, labor groups, middle-class citizens, some indigenous groups, and (later) Morales’s supporters.",1 month,Morales resigned and was replaced by an interim government. Elections are scheduled to be held in May 2020.,,X,,,Tens of thousands,X,,,,,La Paz,Bolivia,Latin America and Caribbean,5.716,0.053,5.819,5.613,9.046,0.81,63.901,0.875,-0.077,0.839,2.43,0.842,0.782,0.486,0.6,0.138,0.064,2.805,0.20599999999999952
55,Bosnia and Herzegovina,“Justice for David” protests,Mar-18,Partly free,"Suspicious death of a young man named David Dragičević, triggering suspicions that the authorities in the Serb region of Bosnia are obstructing the investigation and protecting his killers.","Impunity, weak rule of law, and corruption.",">10,000",Bosnian Serbs.,9 months,No policy/leadership change in response to the protests.,,,X,X,Hundreds of thousands,,X,,X,,Sarajevo,Bosnia and Herzegovina,Central and Eastern Europe,5.813,0.05,5.911,5.715,9.59,0.87,68.098,0.706,0.113,0.931,2.43,1.032,0.919,0.618,0.395,0.261,0.005,2.583,0.19599999999999973
56,Brazil,Coronavirus response protests,Jan-21,Free,"First round of protests, in January, was triggered by oxygen shortages at hospitals in the city of Manaus and a sluggish rollout of Brazil’s vaccination campaign. Second round of protests, starting in May, was triggered by the government’s slow and inept response amid a third wave of infections and allegations of corruption in vaccine procurement.","Anger over inadequate resourcing of hospitals, underinvestment in vaccines, pervasive corruption, an ineffectual government response, and misinformation and denialism being spread by President Jair Bolsonaro.",">10,000",General public.,11 months,The Brazilian Senate launched an inquiry into the government’s handling of the pandemic.,,,X,X,Tens of thousands,,,,,X,Brasilia,Brazil,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,0.16999999999999993
57,Brazil,Coronavirus protests,Mar-20,Free,"President Jair Bolsonaro’s poor and slow response to the coronavirus outbreak; and the death of George Floyd in the United States, sparking protests against local police brutality and racism.","Lack of an effective government response to the spread of the coronavirus, racism in Brazil, and police brutality against Black Brazilians.",">1,000",General public.,4 months,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,,,Brasilia,Brazil,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,0.16999999999999993
58,Brazil,Education cuts protests,May-19,Free,Cuts in education spending and postgraduate scholarships.,Economic challenges and government attacks on public education.,">100,000","Students, teachers, teachers’ unions.",3 months,No policy/leadership change in response to the protests.,,,X,,Thousands,X,,X,,,Brasilia,Brazil,Latin America and Caribbean,6.33,0.043,6.415,6.245,9.577,0.882,66.601,0.804,-0.071,0.756,2.43,1.028,0.944,0.571,0.514,0.142,0.117,3.015,0.16999999999999993
59,Bulgaria,Corruption protests,Jul-20,Free,Revelations that state National Security Service agents were reserving access of a public beach for a businessman’s private use; police raids on the office of President Rumen Radev; and fresh allegations of corruption against Prime Minister Boyko Borisov.,Widespread corruption that has weakened state institutions and Bulgaria’s rule of law.,">10,000",General public.,6 months,Four ministers resigned; investigation against the President is blocked; Head of the National Security Service resigned; and the government introduces proposed constitutional reforms.,,,X,X,Tens of thousands,X,X,,X,,Sofia,Bulgaria,Central and Eastern Europe,5.266,0.054,5.371,5.16,10.016,0.931,67.0,0.788,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823,0.2110000000000003
60,Bulgaria,Coronavirus lockdown protest,May-20,Free,Enactment of lockdown measures to combat the spread of the coronavirus.,"Skepticism of the coronavirus and vaccines, and other concerns rooted in conspiracy theories and misinformation.",">1,000","Far-left activists, especially supporters of the Vazrazhdane group.",1 day,No policy or leadership change in response to the protest.,,X,,X,Tens of thousands,,,,X,,Sofia,Bulgaria,Central and Eastern Europe,5.266,0.054,5.371,5.16,10.016,0.931,67.0,0.788,-0.096,0.932,2.43,1.181,1.055,0.583,0.494,0.125,0.005,1.823,0.2110000000000003
61,Burkina Faso,Jihadist violence protests,Jul-21,Partly free,"Rising jihadist terror attacks on civilian targets, including a June attack that killed over 130 people. November protests were triggered by a November 14 attack on a gendarmerie camp in the northern part of the country.","Frustration with rising violence and perceived government inaction in the face of an expanding insurgency, displacement, and a humanitarian crisis.",">1,000",General public.,3 months,"President Roch Kaboré dismissed the defense minister and security minister in June 2021; in December 2021, Kaboré replaced the country’s prime minister. In January 2022, Kaboré was overthrown in a military coup.",,,X,,Thousands,X,,X,X,,Ouagadougou,Burkina Faso,Sub-Saharan Africa,4.834,0.081,4.993,4.675,7.678,0.672,54.151,0.695,-0.009,0.748,2.43,0.364,0.472,0.179,0.381,0.182,0.122,3.133,0.3180000000000005
62,Cameroon,Women's empowerment protest,Mar-22,Not free,Call for protest by women's groups; commemoration of International Women's Day.,Frustration with pervasive barriers to women's political participation and representation in senior political positions.,">10,000",Women.,1 day,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,,,Yaounde,Cameroon,Sub-Saharan Africa,5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,0.2919999999999998
63,Cameroon,Ambazonia protests,Oct-17,Not free,The breakdown of negotiations between representatives of the English-speaking minority and the French-speaking governing majority.,Lack of political autonomy for residents of the English-speaking Northwest and Southwest regions of Cameroon.,">1,000","English-speakers, especially advocates of independence for English-speaking Ambazonia.","1 year, intermittently",No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,X,Yaounde,Cameroon,Sub-Saharan Africa,5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,0.2919999999999998
64,Cameroon,Electoral protests,Oct-18,Not free,The arrest of opposition leader Maurice Kamto.,Anger over a lack of meaningful political pluralism and a crackdown against political opponents of longtime President Paul Biya.,">1,000","General public, especially supporters of Maurice Kamto.","13 months, intermittently",No policy/leadership change in response to protests.,,X,,,Tens of thousands,X,,X,,,Yaounde,Cameroon,Sub-Saharan Africa,5.142,0.074,5.288,4.996,8.189,0.71,53.515,0.731,0.026,0.848,2.43,0.543,0.556,0.159,0.425,0.205,0.058,3.195,0.2919999999999998
65,Chad,Military rule protests,Apr-21,Not free,The military’s seizure of power in the wake of the death of longtime president Idriss Déby.,Frustration with the military’s role in politics and the proposed long time frame to return the country to civilian rule.,">1,000",General public.,"7 months , intermittently",No policy/leadership change in response to protests.,,,X,,Thousands,,,X,,,N'Djamena,Chad,Sub-Saharan Africa,4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807,2.43,0.255,0.353,0.0,0.24,0.215,0.084,3.209,0.3689999999999998
66,Chad,Re-election protests,Feb-21,Not free,President Idriss Deby's nomination by the ruling Patriotic Salvation Movement for a sixth term as president.,Frustration over lack of genuine political pluralism and the entrenchment of President Deby's regime.,">1,000",General public.,1 week,No policy/leadership change in response to the protests.,,,X,,Thousands,,,,,,N'Djamena,Chad,Sub-Saharan Africa,4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807,2.43,0.255,0.353,0.0,0.24,0.215,0.084,3.209,0.3689999999999998
67,Chad,Human rights judgment protests,Nov-19,Not free,Recurring delays in the receipt of compensation packages for human rights abuses ordered by the African Union.,Frustration over the lack of reckoning with human rights abuses perpetrated by the former regime of president Hissène Habré.,>500,Relatives of those injured or killed by the Habré government.,1 week,No policy/leadership change in response to protests.,,,X,,Thousands,,,X,,,N'Djamena,Chad,Sub-Saharan Africa,4.355,0.094,4.54,4.171,7.364,0.619,48.478,0.579,0.041,0.807,2.43,0.255,0.353,0.0,0.24,0.215,0.084,3.209,0.3689999999999998
68,Chile,Student stipend protest,Mar-22,Free,Rising costs of living; call for protest by the Confech student federation.,Belief that the government should raise student food and living benefits amid significant economic pressure.,">1,000",Students.,1 day,No policy/leadership change in response to protest.,,X,X,,Thousands,,,,,,Santiago,Chile,Latin America and Caribbean,6.172,0.046,6.262,6.081,10.071,0.882,70.0,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,0.18099999999999916
69,Chile,Subway fare protests,Oct-19,Free,Increased price of metro fares.,"Severe inequality, low wages and pensions, poor service delivery, discontent with government, militarized response to the protests, and demand for constitutional reform.",">1,000,000","Students, young people, professionals, civil society groups.",14 months,"The subway fare hike was reversed, and legislators agreed to a 2020 referendum over whether to write a new constitution. The referendum passed overwhelmingly in October 2020. Lawmakers recently approved a bill that permits citizens to withdraw 10 percent of their pensions to help mitigate the economic impact of the pandemic.",,X,X,X,Over 1 million,X,X,X,X,,Santiago,Chile,Latin America and Caribbean,6.172,0.046,6.262,6.081,10.071,0.882,70.0,0.742,-0.044,0.83,2.43,1.2,0.946,0.678,0.438,0.159,0.07,2.682,0.18099999999999916
70,Colombia,Tax proposal protests,Apr-21,Partly free,The government’s introduction of a proposal to raise tax rates and eliminate exemptions; a call for protests and strikes by the country’s main labor unions.,"Frustration with ongoing economic insecurity, a declining security situation, and pervasive inequality.",">10,000","Indigenous groups, labor unions, teachers, and university students.",5 months,"President Ivan Duque withdrew the tax proposal, and Finance Minister Alberto Carrasquilla resigned. A pared down version of the reform was passed in September 2021.",,X,X,,Tens of thousands,X,,X,,X,Bogota,Colombia,Latin America and Caribbean,6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,0.23999999999999932
71,Colombia,Coronavirus protests,Mar-20,Partly free,"President Ivan Duque’s undermining of local and regional authorities, citizens’ claims that they were not receiving sufficient social support, and rising number of deaths from the virus.","Lack of an effective government response to the spread of the coronavirus, insufficient social support for marginalized and economically disadvantaged populations, and lack of protection for healthcare workers.",">1,000",General public.,8 months,No policy/leadership change in response to the protests.,,X,X,,Thousands,,,,X,X,Bogota,Colombia,Latin America and Caribbean,6.012,0.061,6.132,5.892,9.557,0.847,68.001,0.837,-0.135,0.841,2.43,1.021,0.866,0.615,0.554,0.1,0.063,2.794,0.23999999999999932
